Time,Player,Power,Goroutine,Match Number,Duration(ms)
2025-04-18T17:22:51.446779+07:00,A,80,playerA,9,0
2025-04-18T17:22:51.4966708+07:00,B,126,playerB,9,0
2025-04-18T17:22:51.5438255+07:00,A,95,playerA,9,0
2025-04-18T17:22:51.590192+07:00,B,126,playerB,9,0
2025-04-18T17:22:51.6343136+07:00,A,77,playerA,9,0
2025-04-18T17:22:51.6805801+07:00,B,105,playerB,9,0
2025-04-18T17:22:51.7274462+07:00,A,63,playerA,9,0
2025-04-18T17:22:51.7779895+07:00,B,128,playerB,9,0
2025-04-18T17:22:51.8349932+07:00,A,82,playerA,9,0
2025-04-18T17:22:51.8954533+07:00,B,89,playerB,9,0
2025-04-18T17:22:51.9437252+07:00,A,66,playerA,9,0
2025-04-18T17:22:51.9924487+07:00,B,87,playerB,9,0
2025-04-18T17:22:52.0639374+07:00,A,56,playerA,9,0
2025-04-18T17:22:52.4037596+07:00,B,116,playerB,9,0
2025-04-18T17:22:52.4919951+07:00,A,62,playerA,9,0
2025-04-18T17:22:52.5910344+07:00,B,106,playerB,9,0
2025-04-18T17:22:52.6418394+07:00,A,60,playerA,9,0
2025-04-18T17:22:52.6982364+07:00,B,95,playerB,9,0
2025-04-18T17:22:52.7624427+07:00,A,63,playerA,9,0
2025-04-18T17:22:52.858116+07:00,B,90,playerB,9,0
2025-04-18T17:22:52.9135289+07:00,A,53,playerA,9,0
2025-04-18T17:22:52.9639017+07:00,B,92,playerB,9,0
2025-04-18T17:22:53.021221+07:00,A,59,playerA,9,0
2025-04-18T17:22:53.072148+07:00,B,121,playerB,9,0
2025-04-18T17:22:53.1185827+07:00,A,86,playerA,9,0
2025-04-18T17:22:53.1650693+07:00,B,106,playerB,9,0
2025-04-18T17:22:53.2119752+07:00,A,62,playerA,9,0
2025-04-18T17:22:53.2595498+07:00,B,119,playerB,9,0
2025-04-18T17:22:53.3059689+07:00,A,75,playerA,9,0
2025-04-18T17:22:53.3531165+07:00,B,128,playerB,9,0
2025-04-18T17:22:53.4017685+07:00,A,79,playerA,9,0
2025-04-18T17:22:53.4474183+07:00,B,121,playerB,9,0
2025-04-18T17:22:53.4933922+07:00,A,90,playerA,9,0
2025-04-18T17:22:53.539359+07:00,B,102,playerB,9,0
2025-04-18T17:22:53.5871535+07:00,A,70,playerA,9,0
2025-04-18T17:22:53.6337849+07:00,B,106,playerB,9,0
2025-04-18T17:22:53.6810806+07:00,A,70,playerA,9,0
2025-04-18T17:22:53.7267529+07:00,B,120,playerB,9,0
2025-04-18T17:22:53.7736614+07:00,A,82,playerA,9,0
2025-04-18T17:22:53.8197653+07:00,B,88,playerB,9,0
2025-04-18T17:22:53.8665286+07:00,A,58,playerA,9,0
2025-04-18T17:22:53.91358+07:00,B,82,playerB,9,0
2025-04-18T17:22:53.9607334+07:00,A,58,playerA,9,0
2025-04-18T17:22:54.0073013+07:00,B,85,playerB,9,0
2025-04-18T17:22:54.052491+07:00,A,57,playerA,9,0
2025-04-18T17:22:54.0996179+07:00,B,111,playerB,9,0
2025-04-18T17:22:54.1454572+07:00,A,61,playerA,9,0
2025-04-18T17:22:54.1896719+07:00,B,97,playerB,9,0
2025-04-18T17:22:54.2363865+07:00,A,62,playerA,9,0
2025-04-18T17:22:54.2851932+07:00,B,97,playerB,9,0
2025-04-18T17:22:54.3309576+07:00,A,50,playerA,9,0
2025-04-18T17:22:54.3777878+07:00,B,94,playerB,9,0
2025-04-18T17:22:54.4240133+07:00,A,69,playerA,9,0
2025-04-18T17:22:54.4720171+07:00,B,84,playerB,9,0
2025-04-18T17:22:54.5179977+07:00,A,42,playerA,9,0
2025-04-18T17:22:54.5654014+07:00,B,111,playerB,9,0
2025-04-18T17:22:54.6125783+07:00,A,70,playerA,9,0
2025-04-18T17:22:54.6579652+07:00,B,129,playerB,9,0
2025-04-18T17:22:54.7077502+07:00,A,81,playerA,9,0
2025-04-18T17:22:54.7519825+07:00,B,127,playerB,9,0
2025-04-18T17:22:54.7999028+07:00,A,67,playerA,9,0
2025-04-18T17:22:54.8448983+07:00,B,123,playerB,9,0
2025-04-18T17:22:54.8950133+07:00,A,78,playerA,9,0
2025-04-18T17:22:54.9404192+07:00,B,82,playerB,9,0
2025-04-18T17:22:54.986846+07:00,A,45,playerA,9,0
2025-04-18T17:22:55.0321117+07:00,B,123,playerB,9,0
2025-04-18T17:22:55.0782179+07:00,A,76,playerA,9,0
2025-04-18T17:22:55.1253873+07:00,B,81,playerB,9,0
2025-04-18T17:22:55.1728157+07:00,A,52,playerA,9,0
2025-04-18T17:22:55.2194123+07:00,B,89,playerB,9,0
2025-04-18T17:22:55.264998+07:00,A,53,playerA,9,0
2025-04-18T17:22:55.3115371+07:00,B,122,playerB,9,0
2025-04-18T17:22:55.3578077+07:00,A,90,playerA,9,0
2025-04-18T17:22:55.4045359+07:00,B,96,playerB,9,0
2025-04-18T17:22:55.4521969+07:00,A,53,playerA,9,0
2025-04-18T17:22:55.4984324+07:00,B,99,playerB,9,0
2025-04-18T17:22:55.5449805+07:00,A,50,playerA,9,0
2025-04-18T17:22:55.5905181+07:00,B,84,playerB,9,0
2025-04-18T17:22:55.636063+07:00,A,56,playerA,9,0
2025-04-18T17:22:55.681236+07:00,B,103,playerB,9,0
2025-04-18T17:22:55.7286644+07:00,A,73,playerA,9,0
2025-04-18T17:22:55.7762792+07:00,B,83,playerB,9,0
2025-04-18T17:22:55.8234896+07:00,A,45,playerA,9,0
2025-04-18T17:22:55.8706256+07:00,B,118,playerB,9,0
2025-04-18T17:22:55.9172213+07:00,A,79,playerA,9,0
2025-04-18T17:22:55.9639909+07:00,B,105,playerB,9,0
2025-04-18T17:22:56.0120732+07:00,A,72,playerA,9,0
2025-04-18T17:22:56.0700739+07:00,B,112,playerB,9,0
2025-04-18T17:22:56.1154467+07:00,A,65,playerA,9,0
2025-04-18T17:22:56.162771+07:00,B,120,playerB,9,0
2025-04-18T17:22:56.2098514+07:00,A,68,playerA,9,0
2025-04-18T17:22:56.2564172+07:00,B,110,playerB,9,0
2025-04-18T17:22:56.3029884+07:00,A,74,playerA,9,0
2025-04-18T17:22:56.3496466+07:00,B,114,playerB,9,0
2025-04-18T17:22:56.3980303+07:00,A,78,playerA,9,0
2025-04-18T17:22:56.4440356+07:00,B,125,playerB,9,0
Time,Player,Power,Goroutine,Match Number,Duration(ms)
2025-04-18T17:17:35.4866312+07:00,A,114,playerA,1,0
2025-04-18T17:17:35.5314296+07:00,B,112,playerB,1,0
2025-04-18T17:22:21.5460021+07:00,A,97,playerA,2,0
2025-04-18T17:22:21.5964647+07:00,B,94,playerB,2,0
2025-04-18T17:22:28.9632892+07:00,A,102,playerA,3,0
2025-04-18T17:22:29.0116395+07:00,B,81,playerB,3,0
2025-04-18T17:22:33.3296507+07:00,A,128,playerA,4,0
2025-04-18T17:22:33.3752788+07:00,B,108,playerB,4,0
2025-04-18T17:22:35.5351859+07:00,A,96,playerA,5,0
2025-04-18T17:22:35.5822442+07:00,B,95,playerB,5,0
2025-04-18T17:22:36.3123133+07:00,A,127,playerA,6,0
2025-04-18T17:22:36.3585612+07:00,B,96,playerB,6,0
2025-04-18T17:22:36.9434508+07:00,A,117,playerA,7,0
2025-04-18T17:22:36.9904321+07:00,B,126,playerB,7,0
2025-04-18T17:22:37.0367641+07:00,A,89,playerA,7,0
2025-04-18T17:22:37.0833249+07:00,B,115,playerB,7,0
2025-04-18T17:22:37.1291553+07:00,A,83,playerA,7,0
2025-04-18T17:22:37.1765332+07:00,B,81,playerB,7,0
2025-04-18T17:22:37.9076082+07:00,A,99,playerA,8,0
2025-04-18T17:22:37.9534975+07:00,B,98,playerB,8,0
2025-04-18T17:22:38.5787047+07:00,A,88,playerA,9,0
2025-04-18T17:22:38.6236827+07:00,B,93,playerB,9,0
2025-04-18T17:22:38.6702082+07:00,A,53,playerA,9,0
2025-04-18T17:22:38.7162226+07:00,B,112,playerB,9,0
2025-04-18T17:22:38.7625043+07:00,A,78,playerA,9,0
2025-04-18T17:22:38.8107138+07:00,B,89,playerB,9,0
2025-04-18T17:22:38.8567906+07:00,A,57,playerA,9,0
2025-04-18T17:22:38.9056768+07:00,B,80,playerB,9,0
2025-04-18T17:22:38.9539455+07:00,A,49,playerA,9,0
2025-04-18T17:22:39.0024475+07:00,B,113,playerB,9,0
2025-04-18T17:22:39.0483821+07:00,A,73,playerA,9,0
2025-04-18T17:22:39.0939812+07:00,B,80,playerB,9,0
2025-04-18T17:22:39.1390899+07:00,A,53,playerA,9,0
2025-04-18T17:22:39.18552+07:00,B,128,playerB,9,0
2025-04-18T17:22:39.2313007+07:00,A,81,playerA,9,0
2025-04-18T17:22:39.6426449+07:00,B,118,playerB,9,0
2025-04-18T17:22:39.6912896+07:00,A,78,playerA,9,0
2025-04-18T17:22:40.0836337+07:00,B,128,playerB,9,0
2025-04-18T17:22:40.1270784+07:00,A,68,playerA,9,0
2025-04-18T17:22:40.5213769+07:00,B,121,playerB,9,0
2025-04-18T17:22:40.5663545+07:00,A,75,playerA,9,0
2025-04-18T17:22:41.0550556+07:00,B,89,playerB,9,0
2025-04-18T17:22:41.1005828+07:00,A,54,playerA,9,0
2025-04-18T17:22:41.3886952+07:00,B,115,playerB,9,0
2025-04-18T17:22:41.4372136+07:00,A,90,playerA,9,0
2025-04-18T17:22:42.0394463+07:00,B,103,playerB,9,0
2025-04-18T17:22:42.0872552+07:00,A,81,playerA,9,0
2025-04-18T17:22:42.5343266+07:00,B,99,playerB,9,0
2025-04-18T17:22:42.5815802+07:00,A,59,playerA,9,0
2025-04-18T17:22:42.9675546+07:00,B,125,playerB,9,0
2025-04-18T17:22:43.0172101+07:00,A,66,playerA,9,0
2025-04-18T17:22:43.4061424+07:00,B,128,playerB,9,0
2025-04-18T17:22:43.4617244+07:00,A,75,playerA,9,0
2025-04-18T17:22:43.8344579+07:00,B,109,playerB,9,0
2025-04-18T17:22:43.8824266+07:00,A,80,playerA,9,0
2025-04-18T17:22:44.2641718+07:00,B,108,playerB,9,0
2025-04-18T17:22:44.314017+07:00,A,70,playerA,9,0
2025-04-18T17:22:44.7496665+07:00,B,96,playerB,9,0
2025-04-18T17:22:44.7978334+07:00,A,72,playerA,9,0
2025-04-18T17:22:45.549464+07:00,B,114,playerB,9,0
2025-04-18T17:22:45.594064+07:00,A,76,playerA,9,0
2025-04-18T17:22:45.6408936+07:00,B,128,playerB,9,0
2025-04-18T17:22:45.6858098+07:00,A,79,playerA,9,0
2025-04-18T17:22:45.7340549+07:00,B,108,playerB,9,0
2025-04-18T17:22:45.7803999+07:00,A,63,playerA,9,0
2025-04-18T17:22:45.8246622+07:00,B,110,playerB,9,0
2025-04-18T17:22:45.8765234+07:00,A,67,playerA,9,0
2025-04-18T17:22:45.9237893+07:00,B,84,playerB,9,0
2025-04-18T17:22:45.97203+07:00,A,45,playerA,9,0
2025-04-18T17:22:46.0189177+07:00,B,111,playerB,9,0
2025-04-18T17:22:46.0654858+07:00,A,80,playerA,9,0
2025-04-18T17:22:46.1126523+07:00,B,121,playerB,9,0
2025-04-18T17:22:46.1598293+07:00,A,72,playerA,9,0
2025-04-18T17:22:46.2065881+07:00,B,111,playerB,9,0
2025-04-18T17:22:46.2552121+07:00,A,68,playerA,9,0
2025-04-18T17:22:46.3010314+07:00,B,85,playerB,9,0
2025-04-18T17:22:46.3465686+07:00,A,54,playerA,9,0
2025-04-18T17:22:46.3917042+07:00,B,85,playerB,9,0
2025-04-18T17:22:46.4388155+07:00,A,51,playerA,9,0
2025-04-18T17:22:46.4857749+07:00,B,101,playerB,9,0
2025-04-18T17:22:46.5323026+07:00,A,57,playerA,9,0
2025-04-18T17:22:46.5774542+07:00,B,106,playerB,9,0
2025-04-18T17:22:46.6224077+07:00,A,80,playerA,9,0
2025-04-18T17:22:46.6691166+07:00,B,90,playerB,9,0
2025-04-18T17:22:46.7193072+07:00,A,57,playerA,9,0
2025-04-18T17:22:46.7659226+07:00,B,124,playerB,9,0
2025-04-18T17:22:46.8146918+07:00,A,74,playerA,9,0
2025-04-18T17:22:46.860122+07:00,B,111,playerB,9,0
2025-04-18T17:22:46.9075062+07:00,A,65,playerA,9,0
2025-04-18T17:22:46.9539319+07:00,B,123,playerB,9,0
2025-04-18T17:22:47.0027247+07:00,A,92,playerA,9,0
2025-04-18T17:22:47.0566966+07:00,B,105,playerB,9,0
2025-04-18T17:22:47.1036037+07:00,A,71,playerA,9,0
2025-04-18T17:22:47.1504174+07:00,B,82,playerB,9,0
2025-04-18T17:22:47.1969063+07:00,A,56,playerA,9,0
2025-04-18T17:22:47.2447388+07:00,B,129,playerB,9,0
